\,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date
Lory,Lory,D8,Green napped lory,CKRD1430,CKRD1490,5692,27-12-2022,Fertile,03-01-2022,,7.1,17-01-2022,5.31,19-01-2022,0.61,Normal Hatch,0.2,,
Lory,Lory,E4,Swainson Lory,CKRC365,CKRC241,5689,27-12-2021,Fertile,03-01-2022,,6.39,18-01-2022,,,,,,Late,19-01-2022
Conure,Garden,B12,Sun conure,GB3022,GB 2791,2493,20-12-2021,Fertile,27-12-2022,,,,,,,,,Late,16-01-2022
Conure,Sun conure,B22,Sun conure,GB2714,GB2747,5716,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Garden,B7,Sun conure,Ckr190,ckr2788,2497,27-12-2021,Fertile,03-01-2022,,7.42,13-01-2022,6.15,14-01-2022,0.66,Normal Hatch,0.2,,
Lory,Lory,E32,Red lory,,,5696,27-12-2021,Fertile,03-01-2022,,8.26,16-01-2022,6.2,19-01-2022,0.67,Normal Hatch,0.2,,
Lory,Lory,D30,Swainson Lory,CKRA480,CKRA417,5694,27-12-2021,Fertile,03-01-2022,,,,,,,,,Late,20-01-2022
Lory,Lory,E27,Red lory,ABW4849,ABW5154,5693,27-12-2021,Fertile,03-01-2022,,7.5,16-01-2022,5.4,18-01-2022,0.55,Assist Hatch,0.2,,
Lory,Lory,E31,Olive swainson lory+ swainson lory,CKRC230,CKRC266,5695,27-12-2021,Fertile,03-01-2022,,6.11,18-01-2022,,,,,,Late,19-01-2022
Conure,Garden,B9,Sun conure,GD2883,GD2720,2492,20-12-2021,Fertile,27-12-2021,,7.44,15-01-2022,5.72,16-01-2022,0.78,Normal Hatch,0.2,,
Lory,Garden,A24,Red collard lory,CKRD1589,CKRC222,2494,03-01-2022,Fertile,10-01-2022,,6.44,17-01-2022,5.09,19-01-2022,0.54,Normal Hatch,0.2,,
Conure,Garden,B3,Sun conure,GB2865,GB3180,2516,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Conure,Garden,B10,Sun conure,GB2783,GB2785,2515,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Conure,Garden,B10,Sun conure,GB2783,GB2785,2520,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Lory,Garden,A24,Red collard lory,CKRD1589,CKRC222,2504,27-12-2021,Fertile,03-01-2022,,6.15,15-01-2022,4.49,16-01-2022,0.5,Normal Hatch,0.1,,
Conure,Garden,B4,Sun conure,GB2799,GB2868,2500,27-12-2021,Fertile,03-01-2022,,6.16,16-01-2022,5.56,17-01-2022,0.7,Normal Hatch,0.2,,
Conure,Garden,B8,Sun conure,GD2692,GD3183,2503,27-12-2021,Fertile,03-01-2022,,,,,,,,,Late,17-01-2022
Lory,Garden,B16,Red lory,217,ABW3921,2509,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Conure,Garden,B9,Sun conure,GD2883,GD2720,2510,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Lory,Garden,C2,Swainson Lory,CKRA443,GFC498,2523,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Conure,Garden,B3,Sun conure,GB2865,GB3180,2514,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Conure,Garden,B10,Sun conure,GB2783,GB2785,2519,03-01-2022,Fertile,10-01-2022,,,,,,,,,Mid,19-01-2022
Conure,Garden,B12,Sun conure,GB3022,GB2781,2524,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Lory,Garden,C5,Green napped lory,YUV400,YUV287,2512,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Conure,Garden,B9,Sun conure,GD2883,GD2720,2518,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Conure,Garden,B12,Sun conure,GB3022,GB2781,2511,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Conure,Garden,B6,Sun conure,GB2956,Ckr153,2521,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Lory,Garden,C5,Green napped lory,YUV400,YUV287,2513,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Parrot,Aruvi,A12,Grey parrot,CKR0011,VPW293,2508,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Parrot,Aruvi,A1,Timmney grey parrot,,,2529,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Parrot,Aruvi,A2,Timmney grey parrot,13,CKR.13,2528,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Macaw,Thendral,T6,Blue gold macaw,22,CKR0083,2525,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Parrot,Aruvi,A9,Grey parrot,CKR0001C,SV0010,2526,03-01-2022,Fertile,10-01-2022,,,,,,,,,Early,16-01-2022
Parrot,Aruvi,A2,Timmney grey parrot,13,CKR.13,2530,03-01-2022,Fertile,10-01-2022,,,,,,,,,,
Conure,Sun conure,B20,Sun conure,GB2815,CKRB154,5794,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Conure,Sun conure,B13,Sun conure,GB2810,GB3097,5772,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Conure,Sun conure,A16,Sun conure,GB3023,GB2855,5773,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Conure,Sun conure,A29,Sun conure,GB2873,GB2778,5777,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Lory,Lory,E28,Swainson Lory,CKR364,CKRB107,5835,10-01-2022,Fertile,17-01-2022,,,,,,,,,,
Conure,Sun conure,B7,Sun conure,CKRB131,GB3096,5705,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Sun conure,B48,Nandaya conure,CKRB139&1,CKRA167,5781,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Conure,Sun conure,B17,Sun conure,GB2891,GB2718,5775,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Conure,Sun conure,A36,Sun conure,CKRC251,CKRC256,5779,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Conure,Sun conure,B30,Sun conure,GB2702,GB2823,5778,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Conure,Sun conure,B23,Sun conure,GB2735,GB2776,5718,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Garden,B9,Sun conure,GD2883,GD2720,2501,27-12-2021,Fertile,03-01-2022,,4.17,17-01-2022,5.73,19-01-2022,0.62,Normal Hatch,0.2,,
Conure,Garden,B8,Sun conure,GD2692,GD3183,2506,27-12-2021,Fertile,03-01-2022,,,,,,,,,Late,14-01-2022
Conure,Sun conure,A42,Sun conure,GB2895,GB2649,5684,27-12-2021,Fertile,03-01-2022,,,,,,,,,,
Conure,Sun conure,B26,Sun conure,GB2892,GB2932,5680,27-12-2021,Fertile,03-01-2022,,7.23,16-01-2022,5.33,18-01-2022,0.46,Assist Hatch,0.2,,
Conure,Sun conure,B6,Sun conure,GB3059,CPC143,5666,27-12-2021,Fertile,03-01-2022,,6.84,19-01-2022,508,20-01-2022,0.71,Normal Hatch,0.2,,
Conure,Sun conure,B14,Sun conure,GB2698,GB2780,5674,27-12-2021,Fertile,03-01-2022,,6.91,17-01-2022,5.52,18-01-2022,0.83,Normal Hatch,0.2,,
Conure,Sun conure,B29,Sun conure,GB2807,GB2700,5722,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Sun conure,B42,Sun conure,CKRD320,CKRD1381,5726,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Sun conure,B12,Sun & Jandaya,GB2701,GB3332,5672,27-12-2021,Fertile,03-01-2022,,,,,,,,,Late,18-01-2022
Conure,Sun conure,B13,Sun conure,GB2810,GB3097,5673,27-12-2021,Fertile,03-01-2022,,7.34,16-01-2022,6,19-01-2022,0.76,Normal Hatch,0.2,,
Conure,Sun conure,A5,Sun conure,CKRD282,CKRC332,5704,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Sun conure,A29,Sun conure,GB2873,GB2778,5723,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Garden,B7,Sun conure,Ckr190,ckr2788,2496,27-12-2021,Fertile,03-01-2022,,8.05,16-01-2022,5.89,18-01-2022,0.6,Normal Hatch,0.2,,
Conure,Sun conure,A29,Sun conure,GB2873,GB2778,5681,27-12-2021,Fertile,03-01-2022,,7.24,18-01-2022,5.87,19-01-2022,0.66,Normal Hatch,0.2,,
Conure,Sun conure,B17,Sun conure,GB2891,GB2718,5713,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Garden,B4,Sun conure,GB2799,GB2868,2498,27-12-2021,Fertile,03-01-2022,,8.05,17-01-2022,6.36,20-01-2022,0.78,Normal Hatch,0.1,,
Conure,Sun conure,A18,Sun conure,GB3174,GB3198,5675,27-12-2021,Fertile,03-01-2022,,,,,,,,,,
Lory,Lory,D42,Red collard lory,CKRC281,CKRC288,5838,10-01-2022,Infertile,,,,,,,,,,,
Conure,Garden,B12,Sun conure,GB3022,GB 2791,2505,27-12-2021,Fertile,03-01-2022,,8.45,16-01-2022,6.48,17-01-2022,0.86,Normal Hatch,0.2,,
Conure,Sun conure,B22,Sun conure,GB2714,GB2747,5676,27-12-2021,Fertile,03-01-2022,,7.7,16-01-2022,6.31,18-01-2022,0.71,Normal Hatch,0.2,,
Conure,Sun conure,A16,Sun conure,GB3023,GB2855,5712,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Sun conure,A9,Sun conure,CKR07,MVR504,5670,27-12-2021,Fertile,03-01-2022,,,,,,,,,Late,18-01-2022
Conure,Sun conure,B12,Sun & Jandaya,GB2701,GB3332,5708,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Sun conure,B18,Sun conure,GB2767,NAGU14,5714,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Sun conure,A26,Sun conure,GB3223,GB2926,5719,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Sun conure,B23,Sun conure,GB2735,GB2776,5677,27-12-2021,Fertile,03-01-2022,,,,,,,,,,
Conure,Sun conure,A9,Sun conure,CKR07,MVR504,5707,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Garden,B9,Sun conure,GD2883,GD2720,2499,20-12-2021,Fertile,27-12-2021,,8,14-01-2022,6.34,,0.77,Normal Hatch,0.1,,
Conure,Sun conure,B7,Sun conure,CKRB131,GB3096,5667,27-12-2021,Fertile,03-01-2022,,,,4.67,16-01-2022,0.88,Normal Hatch,0.2,,
Conure,Sun conure,B42,Sun conure,CKRD320,CKRD1381,5683,27-12-2021,Fertile,03-01-2022,,5.42,18-01-2022,4.44,18-01-2022,0.76,Normal Hatch,0.2,,
Conure,Garden,B12,Sun conure,GB3022,GB 2791,2502,27-12-2021,Fertile,03-01-2022,,8.95,16-01-2022,6.96,19-01-2022,0.88,Normal Hatch,0.2,,
Conure,Sun conure,A28,Sun conure,GB2996,GB3165,5721,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Lory,Lory,E31,Olive swainson lory,CKRC230,CKRC266,5733,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Lory,Lory,E36,Olive swainson lory+ swainson lory,CKRD1476,CKRB114,5735,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Lory,Lory,D30,Swainson Lory,CKRA480,CKRA417,5732,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Conure,Sun conure,A42,Sun conure,GB2895,GB2649,5725,31-12-2021,Fertile,07-01-2022,,,,,,,,,Mid,16-01-2022
Conure,Sun conure,B42,Sun conure,CKRD320,CKRD1381,5726,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Lory,Lory,D33,Swainson Lory,SA256,CKRB050,5766,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Lory,Lory,E39,Red lory,YUV40,PABW324,5700,27-12-2021,Fertile,03-01-2022,,7.64,19-01-2022,6.3,20-01-2022,0.72,Normal Hatch,0.1,,
Lory,Lory,E4,Swainson Lory,CKRC365,CKRC241,5730,31-12-2021,Fertile,07-01-2022,,,,,,,,,Late,17-01-2022
Conure,Sun conure,A42,Sun conure,GB2895,GB2649,5757,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Conure,Sun conure,A8,Sun conure,GB2805,GB2915,5706,31-12-2021,Fertile,07-01-2022,,7.57,20-01-2022,,,,,,Late,20-01-2022
Lory,Lory,E14,Swainson Lory,CKRC272,No ring,5786,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Conure,Sun conure,A18,Sun conure,GB3174,GB3198,5744,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Lory,Lory,D33,Swainson Lory,SA256,CKRB050,5734,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Lory,Lory,D39,Olive swainson lory,,,5701,27-12-2021,Fertile,03-01-2022,,7.86,15-01-2022,6.25,17-01-2022,0.96,Normal Hatch,0.2,,
Conure,Sun conure,A49,Sun conure,CKRD1213,CKRD1221,5728,31-12-2021,Fertile,07-01-2022,,,,,,,,,,
Lory,Lory,F45,Olive swainson lory,7L6678,T0660192,5792,06-01-2022,Infertile,,,,,,,,,,,
Lory,Lory,E10,Swainson Lory,CKRC369,CKRC263,5785,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Parrot,Lory,I5,Caique,,,5784,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Lory,Lory,E21,Swainson Lory,CKRC249,CKRD1489,5787,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Lory,Lory,F45,Olive swainson lory,7L6678,T0660192,5791,06-01-2022,Infertile,,,,,,,,,,,
Lory,Lory,E23,Red lory,ABW5142,ABW5160,5788,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Lory,Lory,D42,Red collard lory,CKRC281,CKRC288,5790,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Lory,Lory,E28,Swainson Lory,CKR364,CKRB107,5789,06-01-2022,Fertile,13-01-2022,,,,,,,,,,
Conure,Sun conure,  B6,Sun conure,GB3059,CPC143,5665,27-12-2021,Fertile,03-01-2022,,7.07,15-01-2022,5.59,16-01-2022,1,Normal Hatch,0.2,,
Conure,Sun conure,B7,Sun conure,CKRB131,GB3096,5739,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Conure,Sun conure,A5,Sun conure,CKRD282,CKRC332,5737,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Conure,Sun conure,B20,Sun conure,GB2815,CKRB154,5746,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Conure,Sun conure,B27,Sun conure,GB2730,CKRB184,5749,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Conure,Sun conure,B23,Sun conure,GB2735,GB2776,5747,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Conure,Sun conure,B31,Sun conure,CKRA442,CKR279,5753,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Conure,Sun conure,A8,Sun conure,GB2805,GB2915,5740,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Conure,Sun conure,B14,Sun conure,GB2698,GB2780,5742,04-01-2022,Fertile,11-01-2022,,,,,,,,,Late,16-01-2022
Conure,Sun conure,B18,Sun conure,GB2767,NAGU14,5745,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Conure,Sun conure,A28,Sun conure,GB2996,GB3165,5751,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Conure,Sun conure,B31,Sun conure,CKRA442,CKR279,5752,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
Conure,Sun conure,A28,Sun conure,GB2996,GB3165,5750,04-01-2022,Fertile,11-01-2022,,,,,,,,,,
