Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Bird status
Conure,Sun Conure,A01,Janday Conure,GF0407,Male,Proven,Hold
Conure,Sun Conure,A01,Janday Conure,GF0403,Female,Proven,Hold
Conure,Sun Conure,A02,Sun Conure,CKRB157,Male,Proven,Hold
Conure,Sun Conure,A02,Sun Conure,GB3071,Female,Proven,Hold
Conure,Sun Conure,A03,Sun Conure,GB2825,Female,Proven,Hold
Conure,Sun Conure,A03,Sun Conure,GB3195,Male,Proven,Hold
Conure,Sun Conure,A05,Sun Conure,CKRC332,Female,Proven,Hold
Conure,Sun Conure,A05,Sun Conure,CKRD282,Male,Proven,Hold
Conure,Sun Conure,A06,Sun Conure,GB3070,Female,Proven,Hold
Conure,Sun Conure,A06,Sun Conure,CKRB130,Male,Proven,Hold
Conure,Sun Conure,A07,Sun Conure,GB3204,Male,Proven,Hold
Conure,Sun Conure,A08,Sun Conure,GB2805,Male,Proven,Hold
Conure,Sun Conure,A08,Sun Conure,GB2915,Female,Proven,Hold
Conure,Sun Conure,A09,Sun Conure,CKR07,,Proven,Hold
Conure,Sun Conure,A09,Sun Conure,MVR504,,Proven,Hold
Conure,Sun Conure,A10,Sun Conure,GB2872,Male,Proven,Hold
Conure,Sun Conure,A10,Sun Conure,CKRB115,Female,Proven,Hold
Conure,Sun Conure,A11,Sun Conure,CKRD1203,Male,Proven,Hold
Conure,Sun Conure,A11,Sun Conure,CKRD344,Female,Proven,Hold
Conure,Sun Conure,A12,Sun Conure,GB2905,Male,Proven,Hold
Conure,Sun Conure,A13,Sun Conure,GB3107,Female,Proven,Hold
Conure,Sun Conure,A13,Sun Conure,NORING,,Proven,Hold
Conure,Sun Conure,A14,Sun Conure,GB3124,Female,Proven,Hold
Conure,Sun Conure,A14,Sun Conure,GB2787,Male,Proven,Hold
Conure,Sun Conure,A15,Sun Conure,CKRD314,Male,Proven,Hold
Conure,Sun Conure,A15,Sun Conure,CKRD290,Female,Proven,Hold
Conure,Sun Conure,A16,Sun Conure,GB2855,Female,Proven,Hold
Conure,Sun Conure,A16,Sun Conure,GB3023,Male,Proven,Hold
Conure,Sun Conure,A17,Sun Conure,CKRD287,Female,Proven,Hold
Conure,Sun Conure,A17,Sun Conure,CKRC350,Male,Proven,Hold
Conure,Sun Conure,A18,Sun Conure,GB3174,Male,Proven,Hold
Conure,Sun Conure,A18,Sun Conure,GB3198,Female,Proven,Hold
Conure,Sun Conure,A19,Sun Conure,GB3072,Female,Proven,Hold
Conure,Sun Conure,A19,Sun Conure,GB2896,Male,Proven,Hold
Conure,Sun Conure,A20,Sun Conure,GB2791,Female,Proven,Hold
Conure,Sun Conure,A20,Sun Conure,GB2941,Male,Proven,Hold
Conure,Sun Conure,A21,Sun Conure,CKRC337,Male,Proven,Hold
Conure,Sun Conure,A21,Sun Conure,CKRC340,Female,Proven,Hold
Conure,Sun Conure,A22,Sun Conure,GB2785,Female,Proven,Hold
Conure,Sun Conure,A22,Sun Conure,GB2783,Male,Proven,Hold
Conure,Sun Conure,A23,Sun Conure,GB3022,Male,Proven,Hold
Conure,Sun Conure,A23,Sun Conure,GB2781,female,Proven,Hold
Conure,Sun Conure,A24,Sun Conure,CKR190,Male,Proven,Hold
Conure,Sun Conure,A24,Sun Conure,CKR2788,Female,Proven,Hold
Conure,Sun Conure,A25,Sun Conure,GB2879,Male,Proven,Hold
Conure,Sun Conure,A25,Sun Conure,GB3175,Female,Proven,Hold
Conure,Sun Conure,A26,Sun Conure,GB2926,Female,Proven,Hold
Conure,Sun Conure,A26,Sun Conure,GB3223,Male,Proven,Hold
Conure,Sun Conure,A27,Janday Conure,CKRA137,Male,Proven,Hold
Conure,Sun Conure,A27,Janday Conure,CKR124,Female,Proven,Hold
Conure,Sun Conure,A28,Sun Conure,GB2996,Male,Proven,Hold
Conure,Sun Conure,A28,Sun Conure,GB3165,Female,Proven,Hold
Conure,Sun Conure,A29,Sun Conure,GB2778,Female,Proven,Hold
Conure,Sun Conure,A29,Sun Conure,GB2873,Male,Proven,Hold
Conure,Sun Conure,A30,Sun Conure,GB2865,Male,Proven,Hold
Conure,Sun Conure,A30,Sun Conure,GB3180,Female,Proven,Hold
Conure,Sun Conure,A31,Sun Conure,GB2875,Male,Proven,Hold
Conure,Sun Conure,A31,Sun Conure,GB3215,Female,Proven,Hold
Conure,Sun Conure,A32,Sun Conure,CKRC339,Male,Proven,Hold
Conure,Sun Conure,A32,Sun Conure,CKRD317,Female,Proven,Hold
Conure,Sun Conure,A33,Janday Conure,CKRB170,Female,Proven,Hold
Conure,Sun Conure,A33,Janday Conure,CKRC245,Male,Proven,Hold
Conure,Sun Conure,A34,Sun Conure,GB2639,Male,Proven,Hold
Conure,Sun Conure,A34,Sun Conure,GB2659,Female,Proven,Hold
Conure,Sun Conure,A35,Sun Conure,CKRC324,Female,Proven,Hold
Conure,Sun Conure,A35,Sun Conure,CKRD843,Male,Proven,Hold
Conure,Sun Conure,A36,Sun Conure,CKRC251,Male,Proven,Hold
Conure,Sun Conure,A36,Sun Conure,CKRC256,Female,Proven,Hold
Conure,Sun Conure,A37,Sun Conure,CKR278,,Proven,Hold
Conure,Sun Conure,A37,Sun Conure,JB03-067,,Proven,Hold
Conure,Sun Conure,A38,Janday Conure,CKRA143,Male,Proven,Hold
